ut;addr_no;country;code;city;organisation;pubs
WOS:000084670100019;4;USA;US;Greenbelt;National Aeronautics & Space Administration (NASA);162
WOS:000084670100019;4;USA;US;Greenbelt;NASA Goddard Space Flight Center;107
WOS:000087209800019;1;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000167153200018;2;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000169352700028;1;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000172620600024;4;USA;US;Cambridge;Harvard University;103
WOS:000172620600024;4;USA;US;Cambridge;Smithsonian Institution;132
WOS:000172852800015;7;USA;US;Hilo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000172852800015;7;USA;US;Hilo;National Astronomical Observatory of Japan;135
WOS:000173507400007;2;Japan;JP;Tokyo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000173507400007;2;Japan;JP;Tokyo;National Astronomical Observatory of Japan;135
WOS:000173507400007;3;Japan;JP;Nagoya;Nagoya University;116
WOS:000173507400007;4;USA;US;Hilo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000173507400007;4;USA;US;Hilo;National Astronomical Observatory of Japan;135
WOS:000175269800020;3;England;GB;Keele;Keele University;132
WOS:000176058900020;2;England;GB;Keele;Keele University;132
WOS:000178033200022;2;Japan;JP;Nagoya;Nagoya University;116
WOS:000178033200022;3;Japan;JP;Tokyo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000178033200022;3;Japan;JP;Tokyo;National Astronomical Observatory of Japan;135
WOS:000178033200022;4;USA;US;Hilo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000178033200022;4;USA;US;Hilo;National Astronomical Observatory of Japan;135
WOS:000178193200015;3;France;FR;Paris;Centre National de la Recherche Scientifique (CNRS);128
WOS:000178193200015;4;Germany;DE;Bonn;Max Planck Society;198
WOS:000179648100005;1;Japan;JP;Tokyo;University of Tokyo;142
WOS:000179648100005;2;Japan;JP;Nagoya;Nagoya University;116
WOS:000179648100005;3;Japan;JP;Tokyo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000179648100005;3;Japan;JP;Tokyo;National Astronomical Observatory of Japan;135
WOS:000179648100005;4;USA;US;Hilo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000179648100005;4;USA;US;Hilo;National Astronomical Observatory of Japan;135
WOS:000179648100005;5;Japan;JP;Nagano;University of Tokyo;142
WOS:000180249800028;7;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000180282800013;3;France;FR;Nice;Centre National de la Recherche Scientifique (CNRS);128
WOS:000180513800004;1;Japan;JP;Nagoya;Nagoya University;116
WOS:000180970700013;2;USA;US;Greenbelt;National Aeronautics & Space Administration (NASA);162
WOS:000180970700013;2;USA;US;Greenbelt;NASA Goddard Space Flight Center;107
WOS:000181094700034;1;Japan;JP;Nagoya;Nagoya University;116
WOS:000181094700034;2;Japan;JP;Tokyo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000181094700034;2;Japan;JP;Tokyo;National Astronomical Observatory of Japan;135
WOS:000181094700034;3;USA;US;Hilo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000181094700034;3;USA;US;Hilo;National Astronomical Observatory of Japan;135
WOS:000181740700029;2;England;GB;Keele;Keele University;132
WOS:000182678800027;1;USA;US;Berkeley;University of California System;108
WOS:000182678800027;2;France;FR;Verrieres Les Buissons;Centre National de la Recherche Scientifique (CNRS);128
WOS:000184665600024;1;Japan;JP;Nagoya;Nagoya University;116
WOS:000184665600024;3;Japan;JP;Tokyo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000184665600024;3;Japan;JP;Tokyo;National Astronomical Observatory of Japan;135
WOS:000184665600024;5;USA;US;Hilo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000184665600024;5;USA;US;Hilo;National Astronomical Observatory of Japan;135
WOS:000185916000025;2;Japan;JP;Nagoya;Nagoya University;116
WOS:000185916000025;3;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000185916000025;3;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000186884400018;3;England;GB;Keele;Keele University;132
WOS:000186884400018;4;USA;US;Greenbelt;National Aeronautics & Space Administration (NASA);162
WOS:000186884400018;4;USA;US;Greenbelt;NASA Goddard Space Flight Center;107
WOS:000186912700007;4;USA;US;Berkeley;University of California System;108
WOS:000187960000006;1;Japan;JP;Tokyo;University of Tokyo;142
WOS:000187960000006;2;Japan;JP;Nagoya;Nagoya University;116
WOS:000187960000006;3;Japan;JP;Tokyo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000187960000006;3;Japan;JP;Tokyo;National Astronomical Observatory of Japan;135
WOS:000187960000006;4;USA;US;Hilo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000187960000006;4;USA;US;Hilo;National Astronomical Observatory of Japan;135
WOS:000187960000006;5;Japan;JP;Nagano;University of Tokyo;142
WOS:000220535500033;4;France;FR;Nice;Centre National de la Recherche Scientifique (CNRS);128
WOS:000221910700006;1;Japan;JP;Mitaka;University of Tokyo;142
WOS:000221910700056;1;Japan;JP;Mitaka;University of Tokyo;142
WOS:000222184300017;1;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000222184300017;1;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000222184300017;3;Japan;JP;Nagoya;Nagoya University;116
WOS:000224300700003;1;Japan;JP;Tokyo;University of Tokyo;142
WOS:000224300700003;3;Japan;JP;Tokyo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000224300700003;3;Japan;JP;Tokyo;National Astronomical Observatory of Japan;135
WOS:000224300700003;4;Japan;JP;Nagoya;Nagoya University;116
WOS:000224300700003;5;USA;US;Hilo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000224300700003;5;USA;US;Hilo;National Astronomical Observatory of Japan;135
WOS:000224300700003;6;Japan;JP;Nagano;University of Tokyo;142
WOS:000224700200027;1;Japan;JP;Nagoya;Nagoya University;116
WOS:000224700200027;2;Japan;JP;Tokyo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000224700200027;2;Japan;JP;Tokyo;National Astronomical Observatory of Japan;135
WOS:000224700200027;3;USA;US;Hilo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000224700200027;3;USA;US;Hilo;National Astronomical Observatory of Japan;135
WOS:000225418100028;1;Japan;JP;Tokyo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000225418100028;1;Japan;JP;Tokyo;National Astronomical Observatory of Japan;135
WOS:000225418100028;3;Japan;JP;Nagoya;Nagoya University;116
WOS:000225418100028;5;USA;US;Pasadena;California Institute of Technology;154
WOS:000226130800042;2;France;FR;Meudon;Centre National de la Recherche Scientifique (CNRS);128
WOS:000226130800042;9;France;FR;Paris;Centre National de la Recherche Scientifique (CNRS);128
WOS:000226130800042;10;France;FR;Paris;Centre National de la Recherche Scientifique (CNRS);128
WOS:000226508800007;2;France;FR;Meudon;Centre National de la Recherche Scientifique (CNRS);128
WOS:000226508800007;3;France;FR;Meudon;Centre National de la Recherche Scientifique (CNRS);128
WOS:000226852900016;1;Japan;JP;Tokyo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000226852900016;1;Japan;JP;Tokyo;National Astronomical Observatory of Japan;135
WOS:000226852900016;2;Japan;JP;Nagoya;Nagoya University;116
WOS:000226852900016;6;Japan;JP;Tokyo;University of Tokyo;142
WOS:000226852900016;7;USA;US;Hilo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000226852900016;7;USA;US;Hilo;National Astronomical Observatory of Japan;135
WOS:000227349800008;1;USA;US;Berkeley;University of California System;108
WOS:000227545700005;1;Japan;JP;Nagoya;Nagoya University;116
WOS:000227545700005;3;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000227545700005;3;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000227545700005;4;USA;US;Hilo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000227545700005;4;USA;US;Hilo;National Astronomical Observatory of Japan;135
WOS:000227545700005;6;Japan;JP;Tokyo;University of Tokyo;142
WOS:000227545700005;7;Japan;JP;Tokyo;University of Tokyo;142
WOS:000229622600018;2;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000229622600018;2;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000229622600018;4;Japan;JP;Nagoya;Nagoya University;116
WOS:000230303900020;1;USA;US;Berkeley;University of California System;108
WOS:000231358000002;5;USA;US;Cambridge;Harvard University;103
WOS:000231358000002;5;USA;US;Cambridge;Smithsonian Institution;132
WOS:000231358000002;7;USA;US;Pasadena;California Institute of Technology;154
WOS:000231547400022;1;USA;US;Berkeley;University of California System;108
WOS:000232569400021;2;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000232569400021;2;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000232569400021;4;Japan;JP;Nagoya;Nagoya University;116
WOS:000232977900015;2;Japan;JP;Tokyo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000232977900015;2;Japan;JP;Tokyo;National Astronomical Observatory of Japan;135
WOS:000232977900015;4;Japan;JP;Tokyo;University of Tokyo;142
WOS:000232977900015;6;USA;US;Hilo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000232977900015;6;USA;US;Hilo;National Astronomical Observatory of Japan;135
WOS:000232977900015;8;Japan;JP;Nagoya;Nagoya University;116
WOS:000235425700023;1;Japan;JP;Nagoya;Nagoya University;116
WOS:000235425700023;4;Japan;JP;Tokyo;University of Tokyo;142
WOS:000235425700023;7;Japan;JP;Mitake;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000235425700023;7;Japan;JP;Mitake;National Astronomical Observatory of Japan;135
WOS:000236143100037;2;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000236143100037;2;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000236143100037;4;Germany;DE;Bonn;Max Planck Society;198
WOS:000236143100037;5;Japan;JP;Mizusawa;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000236143100037;5;Japan;JP;Mizusawa;National Astronomical Observatory of Japan;135
WOS:000236143100037;6;Japan;JP;Nagoya;Nagoya University;116
WOS:000236143100037;7;USA;US;Hilo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000236143100037;7;USA;US;Hilo;National Astronomical Observatory of Japan;135
WOS:000238104000038;4;France;FR;Paris;Centre National de la Recherche Scientifique (CNRS);128
WOS:000238104000038;14;France;FR;Nice;Centre National de la Recherche Scientifique (CNRS);128
WOS:000239830000030;1;Japan;JP;Nagoya;Nagoya University;116
WOS:000239830000030;4;Japan;JP;Mitaka;University of Tokyo;142
WOS:000239830000030;6;Japan;JP;Nagoya;Nagoya University;116
WOS:000239830000030;7;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000239830000030;7;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000240376000002;3;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
